name,address,latitude,longitude,price,google_maps_url,types
The Handle Bar HEAT | Charlestown Location,"100 Hood Park Dr, Boston, MA 02129, USA",42.3796059,-71.07332,$159,https://maps.google.com/?cid=7529673211474227338&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, wellness_center, gym, sports_activity_location, health, point_of_interest, establishment"
YMCA Boston,"150 3rd Ave, Charlestown, MA 02129, USA",42.3763971,-71.0533551,community center,https://maps.google.com/?cid=7527424902649669138&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"non_profit_organization, fitness_center, swimming_pool, gym, sports_activity_location, association_or_organization, health, point_of_interest, establishment"
CorePower Yoga - Charlestown,"19 Austin St Suite E101, Charlestown, MA 02129, USA",42.376033,-71.0653887,$189,https://maps.google.com/?cid=8905111633642408114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, sports_activity_location, health, point_of_interest, establishment"
East Boston YMCA,"215 Bremen St, Boston, MA 02128, USA",42.3734483,-71.0331398,community center,https://maps.google.com/?cid=7627664218979515037&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, non_profit_organization, service, association_or_organization, health, sports_activity_location, point_of_interest, establishment"
Down Under School of Yoga - Harvard Square,"22 John F. Kennedy St, Cambridge, MA 02138, USA",42.3729198,-71.1195813,$179,https://maps.google.com/?cid=9165251984858637068&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_school, sports_complex, sports_activity_location, health, point_of_interest, establishment"
Barre & Soul – Boston (Harvard Square),"36 John F. Kennedy St, Cambridge, MA 02138, USA",42.3726521,-71.1198805,$159,https://maps.google.com/?cid=13999315812250645666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_school, sports_complex, sports_activity_location, health, point_of_interest, establishment"
Artemis Yoga,"639 Mt Auburn St, Watertown, MA 02472, USA",42.3714353,-71.1573867,$159,https://maps.google.com/?cid=672287575323781144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, wellness_center, fitness_center, gym, sports_complex, sports_activity_location, sports_school, health, point_of_interest, establishment"
Dirty Water Fitness,"247 Cambridge St, Cambridge, MA 02141, USA",42.371256,-71.0800813,personal,https://maps.google.com/?cid=253926771624096714&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_activity_location, health, point_of_interest, establishment"
Central Rock Gym - Watertown,"74 Acton St, Watertown, MA 02472, USA",42.369575,-71.1986564,$125,https://maps.google.com/?cid=7807399549785827364&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, summer_camp_organizer, gym, amusement_center, sports_complex, sports_school, health, sports_activity_location, point_of_interest, establishment"
B/SPOKE East Boston,"125 Sumner St, Boston, MA 02128, USA",42.3695447,-71.0415577,$168,https://maps.google.com/?cid=6524740550222185527&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, yoga_studio, sauna, gym, public_bath, sports_complex, spa, sports_school, service, health, sports_activity_location, point_of_interest, establishment"
CrossFit City Line,"69 Howard St, Watertown, MA 02472, USA",42.3684925,-71.1960699,$211,https://maps.google.com/?cid=15218872083334988408&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, health, sports_activity_location, point_of_interest, service, establishment"
The Point Barre and Yoga,"20 Orleans St, Boston, MA 02128, USA",42.3672551,-71.038783,$155,https://maps.google.com/?cid=11185153965293452634&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, sports_school, sports_complex, gym, sports_activity_location, point_of_interest, health, establishment"
FORMAT,"420 Commercial St, Boston, MA 02109, USA",42.3669196,-71.0523887,$245,https://maps.google.com/?cid=2309774924796005073&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, health, sports_activity_location, point_of_interest, establishment"
Cambridge YMCA,"820 Massachusetts Ave, Cambridge, MA 02139, USA",42.3668341,-71.106678,community center,https://maps.google.com/?cid=15327765924274390258&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, preschool, child_care_agency, sports_activity_location, health, point_of_interest, service, school, educational_institution, establishment"
