,Time Constraints,Body Image,Social Media Influence,Lack Of Knowledge,Low Motivation,Gym Intimidation,Social Support,Nutrition Energy,Cost Access,Mental Health,Positive Self Image,Intrinsic Motivation,Extrinsic Motivation,Autonomy Preference,Past Athletic Identity
Time Constraints,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0
Body Image,0,0,9,0,0,2,0,0,0,3,4,1,0,0,0
Social Media Influence,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0
Lack Of Knowledge,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Low Motivation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gym Intimidation,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0
Social Support,0,0,0,1,0,1,0,1,1,0,2,2,1,6,1
Nutrition Energy,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Cost Access,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mental Health,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0
Positive Self Image,0,4,1,0,0,0,2,0,0,1,0,12,0,1,0
Intrinsic Motivation,0,1,0,0,0,0,2,0,0,1,12,0,0,3,5
Extrinsic Motivation,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Autonomy Preference,0,0,0,0,0,1,6,0,0,0,1,3,1,0,0
Past Athletic Identity,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
