question,participant,sentiment,participant_short,question_short
Q1. What do you do outside of work/school?,Interview 3.txt,1.0,3 Melanie,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,Interview 3.txt,-1.0,3 Melanie,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,Interview 3.txt,-1.0,3 Melanie,Q3. How does scrolling through content on social ...
Q4. Do you find yourself comparing your image to people you see online? How does that affect you?,Interview 3.txt,1.0,3 Melanie,Q4. Do you find yourself comparing your image to ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",Interview 3.txt,2.0,3 Melanie,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,Interview 3.txt,0.0,3 Melanie,Q6. What would you say has the biggest influence ...
Q7. How would you describe your relationship with your body currently?,Interview 3.txt,0.0,3 Melanie,Q7. How would you describe your relationship with...
Q8. Have you ever avoided a physical activity because of how you thought you'd look doing working out?,Interview 3.txt,-1.0,3 Melanie,Q8. Have you ever avoided a physical activity bec...
Q9. Were you involved in any sports or physical activities? How did that shape how you think about exercise now?,Interview 3.txt,1.0,3 Melanie,Q9. Were you involved in any sports or physical a...
Q10. Have you ever signed up for a gym and stopped going? What led to that?,Interview 3.txt,-1.0,3 Melanie,Q10. Have you ever signed up for a gym and stopped...
Q11. When was the last time you thought about going to the gym but didn't end up going?,Interview 3.txt,-1.0,3 Melanie,Q11. When was the last time you thought about goin...
"Q12. If you went to the gym tomorrow, how confident would you be knowing where to start or what to do?",Interview 3.txt,2.0,3 Melanie,"Q12. If you went to the gym tomorrow, how confiden..."
Q13. Do you ever feel like gyms are catered for certain types of people? What gives you that impression?,Interview 3.txt,-1.0,3 Melanie,Q13. Do you ever feel like gyms are catered for ce...
"Q14. When you think about going to the gym, do you picture yourself going alone or with someone? Why?",Interview 3.txt,0.0,3 Melanie,"Q14. When you think about going to the gym, do you..."
"Q15. What is your preference working out alone, taking a group fitness class, or exercising casually with friends?",Interview 3.txt,1.0,3 Melanie,"Q15. What is your preference working out alone, ta..."
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",Interview 3.txt,0.0,3 Melanie,Q16. If something could remove one barrier to gett...
Q17. How would you feel best supported going to the gym?,Interview 3.txt,1.0,3 Melanie,Q17. How would you feel best supported going to th...
Q18. What would you hope to gain from going to the gym?,Interview 3.txt,2.0,3 Melanie,Q18. What would you hope to gain from going to the...
Q1. What do you do outside of work/school?,Interview 4.txt,1.0,4,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,Interview 4.txt,0.0,4,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,Interview 4.txt,1.0,4,Q3. How does scrolling through content on social ...
Q4. Do you find yourself comparing your image to people you see online? How does that affect you?,Interview 4.txt,1.0,4,Q4. Do you find yourself comparing your image to ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",Interview 4.txt,2.0,4,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,Interview 4.txt,0.0,4,Q6. What would you say has the biggest influence ...
