participant,theme,present,participant_short
Interview 3.txt,Time Constraints,1,3
Interview 3.txt,Body Image,1,3
Interview 3.txt,Social Media Influence,1,3
Interview 3.txt,Lack Of Knowledge,0,3
Interview 3.txt,Low Motivation,0,3
Interview 3.txt,Gym Intimidation,1,3
Interview 3.txt,Social Support,1,3
Interview 3.txt,Nutrition Energy,0,3
Interview 3.txt,Cost Access,0,3
Interview 3.txt,Mental Health,1,3
Interview 3.txt,Positive Self Image,1,3
Interview 3.txt,Intrinsic Motivation,1,3
Interview 3.txt,Extrinsic Motivation,0,3
Interview 3.txt,Autonomy Preference,1,3
Interview 3.txt,Past Athletic Identity,1,3
Interview 4.txt,Time Constraints,1,4
Interview 4.txt,Body Image,1,4
Interview 4.txt,Social Media Influence,1,4
Interview 4.txt,Lack Of Knowledge,1,4
Interview 4.txt,Low Motivation,0,4
Interview 4.txt,Gym Intimidation,1,4
Interview 4.txt,Social Support,1,4
Interview 4.txt,Nutrition Energy,1,4
Interview 4.txt,Cost Access,1,4
Interview 4.txt,Mental Health,1,4
Interview 4.txt,Positive Self Image,1,4
Interview 4.txt,Intrinsic Motivation,1,4
Interview 4.txt,Extrinsic Motivation,1,4
Interview 4.txt,Autonomy Preference,1,4
Interview 4.txt,Past Athletic Identity,1,4
Interview 5a.txt,Time Constraints,1,5a
Interview 5a.txt,Body Image,1,5a
Interview 5a.txt,Social Media Influence,1,5a
Interview 5a.txt,Lack Of Knowledge,1,5a
Interview 5a.txt,Low Motivation,0,5a
Interview 5a.txt,Gym Intimidation,1,5a
Interview 5a.txt,Social Support,1,5a
Interview 5a.txt,Nutrition Energy,0,5a
Interview 5a.txt,Cost Access,1,5a
Interview 5a.txt,Mental Health,1,5a
Interview 5a.txt,Positive Self Image,1,5a
Interview 5a.txt,Intrinsic Motivation,1,5a
Interview 5a.txt,Extrinsic Motivation,0,5a
Interview 5a.txt,Autonomy Preference,1,5a
Interview 5a.txt,Past Athletic Identity,1,5a
Interview 5b.txt,Time Constraints,1,5b
Interview 5b.txt,Body Image,1,5b
Interview 5b.txt,Social Media Influence,1,5b
Interview 5b.txt,Lack Of Knowledge,0,5b
Interview 5b.txt,Low Motivation,1,5b
Interview 5b.txt,Gym Intimidation,1,5b
Interview 5b.txt,Social Support,1,5b
Interview 5b.txt,Nutrition Energy,1,5b
Interview 5b.txt,Cost Access,1,5b
Interview 5b.txt,Mental Health,1,5b
Interview 5b.txt,Positive Self Image,1,5b
Interview 5b.txt,Intrinsic Motivation,1,5b
Interview 5b.txt,Extrinsic Motivation,0,5b
Interview 5b.txt,Autonomy Preference,1,5b
Interview 5b.txt,Past Athletic Identity,1,5b
J Interview.txt,Time Constraints,1,J Interview
J Interview.txt,Body Image,1,J Interview
J Interview.txt,Social Media Influence,1,J Interview
J Interview.txt,Lack Of Knowledge,0,J Interview
J Interview.txt,Low Motivation,0,J Interview
J Interview.txt,Gym Intimidation,1,J Interview
J Interview.txt,Social Support,1,J Interview
J Interview.txt,Nutrition Energy,0,J Interview
J Interview.txt,Cost Access,1,J Interview
J Interview.txt,Mental Health,0,J Interview
J Interview.txt,Positive Self Image,1,J Interview
J Interview.txt,Intrinsic Motivation,1,J Interview
J Interview.txt,Extrinsic Motivation,0,J Interview
J Interview.txt,Autonomy Preference,1,J Interview
J Interview.txt,Past Athletic Identity,1,J Interview
K Interview.txt,Time Constraints,1,K Interview
K Interview.txt,Body Image,1,K Interview
K Interview.txt,Social Media Influence,1,K Interview
K Interview.txt,Lack Of Knowledge,0,K Interview
K Interview.txt,Low Motivation,1,K Interview
K Interview.txt,Gym Intimidation,1,K Interview
K Interview.txt,Social Support,1,K Interview
K Interview.txt,Nutrition Energy,0,K Interview
K Interview.txt,Cost Access,1,K Interview
K Interview.txt,Mental Health,0,K Interview
K Interview.txt,Positive Self Image,1,K Interview
K Interview.txt,Intrinsic Motivation,1,K Interview
K Interview.txt,Extrinsic Motivation,0,K Interview
K Interview.txt,Autonomy Preference,0,K Interview
K Interview.txt,Past Athletic Identity,1,K Interview
Q Interview.txt,Time Constraints,0,Q Interview
Q Interview.txt,Body Image,1,Q Interview
Q Interview.txt,Social Media Influence,1,Q Interview
Q Interview.txt,Lack Of Knowledge,0,Q Interview
Q Interview.txt,Low Motivation,1,Q Interview
Q Interview.txt,Gym Intimidation,1,Q Interview
Q Interview.txt,Social Support,0,Q Interview
Q Interview.txt,Nutrition Energy,0,Q Interview
Q Interview.txt,Cost Access,0,Q Interview
Q Interview.txt,Mental Health,1,Q Interview
Q Interview.txt,Positive Self Image,1,Q Interview
Q Interview.txt,Intrinsic Motivation,1,Q Interview
Q Interview.txt,Extrinsic Motivation,0,Q Interview
Q Interview.txt,Autonomy Preference,1,Q Interview
Q Interview.txt,Past Athletic Identity,1,Q Interview
T Interview.txt,Time Constraints,1,T Interview
T Interview.txt,Body Image,1,T Interview
T Interview.txt,Social Media Influence,1,T Interview
T Interview.txt,Lack Of Knowledge,0,T Interview
T Interview.txt,Low Motivation,0,T Interview
T Interview.txt,Gym Intimidation,1,T Interview
T Interview.txt,Social Support,1,T Interview
T Interview.txt,Nutrition Energy,1,T Interview
T Interview.txt,Cost Access,1,T Interview
T Interview.txt,Mental Health,1,T Interview
T Interview.txt,Positive Self Image,1,T Interview
T Interview.txt,Intrinsic Motivation,1,T Interview
T Interview.txt,Extrinsic Motivation,0,T Interview
T Interview.txt,Autonomy Preference,1,T Interview
T Interview.txt,Past Athletic Identity,1,T Interview
